Ratio,Age,Value
0,0,0
0,1,0.014084507
0,2,0.032258065
0,3,0.055555556
0,4,0.071428571
0,5,0.089285714
1,0,0
1,1,0
1,2,0.0625
1,3,0.176470588
1,4,0.111111111
1,5,0.129032258
2,0,0
2,1,0.017857143
2,2,0.040540541
2,3,0.063492063
2,4,0.142857143
2,5,0.133333333
3,0,0
3,1,0.029850746
3,2,0.071428571
3,3,0.063829787
3,4,0.114754098
3,5,0.0625
4,0,0.052631579
4,1,0.019607843
4,2,0.057692308
4,3,0.139534884
4,4,0.060606061
4,5,0.075471698
5,0,0
5,1,0
5,2,0.063829787
5,3,0.06122449
5,4,0.081632653
5,5,0.065217391
6,0,0
6,1,0
6,2,0
6,3,0.078947368
6,4,0.071428571
6,5,0.12195122
7,0,0
7,1,0.023529412
7,2,0.014705882
7,3,0.149253731
7,4,0.050847458
7,5,0.078651685
8,0,0
8,1,0
8,2,0.05
8,3,0.066666667
8,4,0.074626866
8,5,0.068965517
9,0,0
9,1,0
9,2,0.041666667
9,3,0.042553191
9,4,0.041666667
9,5,0.101449275
10,0,0
10,1,0
10,2,0
10,3,0.073170732
10,4,0.066666667
10,5,0.042857143
11,0,0
11,1,0.027777778
11,2,0.026315789
11,3,0.073170732
11,4,0.018867925
11,5,0.14893617
12,0,0
12,1,0
12,2,0.038461538
12,3,0.148148148
12,4,0.1
12,5,0.042553191
13,0,0
13,1,0.007246377
13,2,0.008474576
13,3,0.061643836
13,4,0.096385542
13,5,0.079754601
